Freelancer_ID,Skills,Completed_Projects,Hourly_Rate,Experience,Availability
F190,"Tableau, PyTorch, Swift, Vue.js","Cybersecurity Audit, SEO Optimization",79,"UI/UX Designer at VWX, Cloud Engineer at MNO, SEO Specialist at JKL",2 Months
F191,"TensorFlow, Data Science, Cybersecurity","Machine Learning Model Training, Branding Strategy, Blockchain Implementation",73,UI/UX Designer at VWX,3 Months
F192,"Docker, Python, TensorFlow, Kubernetes","Data Analysis Project, Branding Strategy",74,"Full Stack Developer at YZA, Software Engineer at XYZ, DevOps Engineer at PQR",1 Month
F193,"React, Hadoop, C++","Social Media Campaign, API Development, Data Analysis Project",62,"SEO Specialist at JKL, DevOps Engineer at PQR, Machine Learning Engineer at STU",3 Months
F194,"Hadoop, Flask, Power BI, NoSQL","Social Media Campaign, Logo Design",68,"Web Developer at DEF, UI/UX Designer at VWX",1 Week
F195,"Flask, UI/UX Design, Cloud Computing, C++","Logo Design, Blockchain Implementation, E-commerce Platform",45,"Cloud Engineer at MNO, Full Stack Developer at YZA, Data Analyst at ABC",1 Week
F196,"Vue.js, Azure, Adobe Photoshop",API Development,84,"Software Engineer at XYZ, Data Analyst at ABC",2 Weeks
F197,"SQL, Tailwind, Figma",Machine Learning Model Training,64,"Machine Learning Engineer at STU, DevOps Engineer at PQR, Web Developer at DEF",1 Month
F198,"Cloud Computing, Django, Branding, UI/UX Design","API Development, Mobile App Development",96,"Web Developer at DEF, DevOps Engineer at PQR",2 Weeks
F199,"SQL, C++, Adobe Illustrator, Kubernetes, PHP","Portfolio Website, Website Development",90,SEO Specialist at JKL,1 Week
F200,"Flask, Spark, Kubernetes, Cloud Computing, Tailwind",API Development,33,"DevOps Engineer at PQR, UI/UX Designer at VWX",3 Months
